Budget,Certificate,Country,Director,Genre,Gross,IMDb_Rating,IMDb_Votes,Language,Production_Co,Release_Date,Runtime,Star,Title
250000000,                    PG-13,USA,Joss Whedon,Action,1405413868,7.4,640607,English, Marvel Studios,1 May 2015 (USA),141 min,Robert Downey Jr.,Avengers: Age of Ultron (2015) 
135000000,                    R,USA,Alejandro G. Iñárritu,Action,532950503,8,610554,English, Regency Enterprises,8 January 2016 (USA),156 min,Leonardo DiCaprio,The Revenant (2015) 
150000000,                    PG-13,USA,Colin Trevorrow,Action,1671713208,7,533300,English, Universal Pictures,12 June 2015 (USA),124 min,Chris Pratt,Jurassic World (2015) 
175000000,                    PG,USA,Pete Docter,Animation,857611174,8.2,527013,English, Pixar Animation Studios,19 June 2015 (USA),95 min,Amy Poehler,Inside Out (2015) 
130000000,                    PG-13,USA,Peyton Reed,Action,519445163,7.3,483372,English, Gary Sanchez Productions,17 July 2015 (USA),117 min,Paul Rudd,Ant-Man (2015) 
44000000,                    R,USA,Quentin Tarantino,Crime,155760117,7.8,426199,English, Visiona Romantica,30 December 2015 (USA),168 min,Samuel L. Jackson,The Hateful Eight (2015) 
20000000,                    R,USA,Tom McCarthy,Crime,98275238,8.1,359317,English, Participant Media,20 November 2015 (USA),129 min,Mark Ruffalo,Spotlight (2015) 
245000000,                    PG-13,UK,Sam Mendes,Action,880674175,6.8,349286,English, B24,6 November 2015 (USA),148 min,Daniel Craig,Spectre (2015) 
190000000,                    PG-13,USA,James Wan,Action,1516045911,7.2,332389,English, Universal Pictures,3 April 2015 (USA),137 min,Vin Diesel,Furious 7 (2015) 
30000000,                    R,USA,Denis Villeneuve,Action,84872444,7.6,323883,English, Lionsgate,2 October 2015 (USA),121 min,Emily Blunt,Sicario (2015) 
13000000,                    R,Ireland,Lenny Abrahamson,Drama,36262783,8.2,310298,English, Element Pictures,22 January 2016 (USA),118 min,Brie Larson,Room (2015) 
150000000,                    PG-13,USA,Christopher McQuarrie,Action,700868363,7.4,307937,English, Paramount Pictures,31 July 2015 (USA),131 min,Tom Cruise,Mission: Impossible - Rogue Nation (2015) 
28000000,                    R,USA,Adam McKay,Biography,133346506,7.8,304540,English, Paramount Pictures,23 December 2015 (USA),130 min,Christian Bale,The Big Short (2015) 
40000000,                    R,USA,Sam Taylor-Johnson,Drama,571006128,4.1,276520,English, Focus Features,13 February 2015 (USA),125 min,Dakota Johnson,Fifty Shades of Grey (2015) 
